                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.315,                 3.4878,                 1.4893,                0.54896,                0.12972,                0.23639,                0.15855,                    nan,                    nan,                    nan,              0.0002057,              0.0002057,              0.0002057
                      2,                 1.1845,                 2.0534,                 1.3326,                0.54159,                0.59035,                0.64231,                0.41196,                    nan,                    nan,                    nan,             0.00040993,             0.00040993,             0.00040993
                      3,                 1.1089,                 1.4798,                 1.2752,                0.74655,                0.71373,                0.79935,                0.51836,                    nan,                    nan,                    nan,             0.00061004,             0.00061004,             0.00061004
                      4,                 1.0924,                 1.2976,                 1.2575,                0.84947,                0.84497,                0.88967,                0.60367,                    nan,                    nan,                    nan,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.0858,                 1.1869,                 1.2454,                0.83334,                0.84408,                0.87916,                0.59668,                    nan,                    nan,                    nan,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.0448,                 1.0662,                 1.2186,                0.85758,                0.89348,                0.90222,                0.61814,                    nan,                    nan,                    nan,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.0474,                 1.0196,                 1.2115,                0.91959,                0.90641,                0.92861,                0.63768,                    nan,                    nan,                    nan,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.0249,                0.97972,                 1.2075,                0.87953,                0.90241,                 0.9275,                0.64383,                    nan,                    nan,                    nan,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.0099,                0.90967,                 1.1896,                0.91986,                0.90191,                0.93303,                0.65732,                    nan,                    nan,                    nan,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.0267,                0.89637,                 1.2001,                0.90031,                0.90268,                0.92502,                0.62481,                    nan,                    nan,                    nan,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.0041,                0.86157,                 1.1906,                0.92499,                0.92402,                0.93507,                0.64777,                    nan,                    nan,                    nan,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.0076,                0.80643,                 1.1909,                0.93155,                 0.9237,                0.93382,                0.66533,                    nan,                    nan,                    nan,             0.00055694,             0.00055694,             0.00055694
                     13,                0.99144,                0.81144,                 1.1791,                0.88721,                0.88507,                 0.9086,                 0.6459,                    nan,                    nan,                    nan,             0.00055075,             0.00055075,             0.00055075
                     14,                0.98873,                0.78683,                 1.1614,                0.92438,                0.92284,                0.93483,                0.66801,                    nan,                    nan,                    nan,             0.00054456,             0.00054456,             0.00054456
                     15,                0.99352,                0.75429,                 1.1691,                0.92061,                 0.8965,                0.92304,                0.65666,                    nan,                    nan,                    nan,             0.00053838,             0.00053838,             0.00053838
                     16,                0.97128,                 0.7242,                 1.1557,                0.92633,                0.91026,                0.93285,                0.66639,                    nan,                    nan,                    nan,             0.00053219,             0.00053219,             0.00053219
                     17,                0.96075,                0.71908,                 1.1521,                0.92741,                0.91965,                0.93433,                0.65474,                    nan,                    nan,                    nan,               0.000526,               0.000526,               0.000526
                     18,                 0.9696,                0.70991,                  1.154,                0.92005,                0.93431,                 0.9353,                0.66615,                    nan,                    nan,                    nan,             0.00051981,             0.00051981,             0.00051981
                     19,                0.94289,                0.67908,                 1.1394,                0.93085,                0.93967,                 0.9331,                0.66826,                    nan,                    nan,                    nan,             0.00051363,             0.00051363,             0.00051363
                     20,                0.96109,                0.69187,                 1.1548,                0.92831,                 0.9232,                0.93187,                0.66437,                    nan,                    nan,                    nan,             0.00050744,             0.00050744,             0.00050744
                     21,                0.93301,                0.65784,                 1.1335,                0.91162,                0.92146,                0.92667,                0.66423,                    nan,                    nan,                    nan,             0.00050125,             0.00050125,             0.00050125
                     22,                0.94323,                0.66448,                 1.1429,                0.92213,                0.92214,                0.93314,                0.66655,                    nan,                    nan,                    nan,             0.00049506,             0.00049506,             0.00049506
                     23,                0.93776,                0.63349,                 1.1355,                0.94189,                0.93185,                0.94018,                0.67853,                    nan,                    nan,                    nan,             0.00048888,             0.00048888,             0.00048888
                     24,                0.93689,                0.63029,                 1.1337,                0.93094,                0.91161,                 0.9332,                0.66927,                    nan,                    nan,                    nan,             0.00048269,             0.00048269,             0.00048269
                     25,                0.91906,                0.61323,                 1.1257,                0.94582,                  0.932,                0.94154,                0.67457,                    nan,                    nan,                    nan,              0.0004765,              0.0004765,              0.0004765
                     26,                0.93431,                0.61452,                 1.1331,                0.93997,                0.92725,                0.93853,                0.67539,                    nan,                    nan,                    nan,             0.00047031,             0.00047031,             0.00047031
